CUAM China-Hong Kong Strategy A,E Fund (HK) China Equity Div,Allianz Global Artfcl Intlgc AT,Franklin Technology A Acc HKD,Da Cheng Overseas China Concept,Harvest China Equity A HKD Acc,Franklin Biotechnology Discv A,Da Cheng China Balanced A (HKD),Janus Henderson Balanced A2 HKD,Bosera Orient Sun Rise Grt CNH,ChinaAMC Select Fixed Inc Allc,Allianz Income and Growth AM HK,Franklin US Government A(acc)HK,E Fund (HK) HKD Mny Mkt B HKD A,AB SICAV I Low Volatility Eq A,Templeton Em Mkts Dyn Inc A MDi,CSOP Select US Dollar Bd A HKD,E Fund (HK) Select Asia HY Bd A,Allianz US Short Dur Hi Inc Bd,AB Global High Yield AA HKD Inc,Harvest China A Research Select
73.11302459079977,45.656850880731476,73.1858407079646,62.19168428470755,45.381818181818176,42.139018139291856,32.71889400921659,25.671140939597322,11.194833153928966,6.936416184971087,4.271317063531268,7.710843373493961,1.5075376884422087,1.4564185196484667,2.2859607504852324,-1.7564402810304285,-3.7499999999999942,,-5.133470225872689,-11.567205800334639,45.195181345238524
68.83247164133037,45.15761997188943,77.39910313901346,60.18711018711018,42.774982027318465,41.77030357867149,37.162162162162176,25.483599663582837,10.878885316184357,6.737247353224247,4.354403345890313,7.738814993954058,1.4237855946398654,1.4606403199131106,2.0873598763045935,-1.4134275618374674,-3.1040268456375775,,-5.138746145940391,-11.38901295221081,45.181345238534476
68.34054388133497,43.35190281226928,73.42105263157893,61.74825174825173,40.76479076479078,39.844645279582735,40.44350580781415,25.25337837837838,11.075268817204295,6.743737957610783,4.386537662491842,8.33333333333335,1.4225941422594137,1.4750829777379704,2.249127493644706,-1.8890200708382543,-3.1040268456375775,,-5.241521068859196,-11.477969882877865,43.31531564771428
68.66003062787136,43.671729283240076,75.19858781994705,60.9353507565337,41.541755888650954,39.593939916914245,41.56184486373168,23.976608187134495,11.890733797536146,6.6410009624639015,4.335697539840341,7.942238267148015,1.3389121338912147,1.4770351452592496,3.256713211600435,-2.0023557126030616,-3.1040268456375775,,-5.447070914696825,-11.408796606385353,44.947053831679135
67.91945277073246,44.2544918208635,71.32987910189982,61.038514442916096,40.629470672389125,39.84761503267164,41.88759278897138,24.349286314021835,12.01716738197424,7.032755298651238,4.366669635170838,7.859733978234587,1.0860484544694988,1.4811617791718805,3.2499677155524993,-2.0047169811320744,-1.856540084388176,,-2.3662551440329262,-11.52815013404825,44.903700697339765
71.30655586334258,47.46046636290537,77.77777777777779,59.13396481732071,44.9421965317919,43.70644192048274,44.209413008989955,23.84937238493725,12.165058949624862,7.239382239382239,4.468245169464695,9.794437726723103,1.1705685618728996,1.485588086849759,3.807313824072874,-1.0663507109004724,-2.5316455696202445,,-4.634397528321329,-11.102415026833624,46.42843965612663
74.52925222781869,47.38399462004036,78.90974084003575,62.84246575342465,47.16981132075473,43.001837605506594,50.872410032715386,22.64779350541216,13.247172859450732,7.239382239382239,4.443057536852108,9.025270758122742,1.0016694490817963,1.4890241878768176,5.0488881197542685,-0.7109004739336342,-2.449324324324317,,-5.133470225872689,-10.93330349149507,45.854702431465135
75.68642745709828,47.98109385550304,74.88829311885614,62.328767123287676,47.921225382932164,44.19919347746888,50.6030701754386,23.989898989898983,13.408723747980604,7.142857142857146,4.482389550670914,7.942238267148015,1.2531328320801887,1.5047651224844403,5.11824615915761,-0.3554502369668171,-2.449324324324317,,-5.2361396303901415,-10.933124229864447,45.854702431465135
73.10476493516825,47.28671520813296,75.51569506726457,61.77700348432056,47.05882352941177,43.589579997065144,51.74902831760131,23.554421768707478,12.946912242686894,6.467181467181468,4.4732329589945365,8.859223300970879,1.1695906432748437,1.5066222221344159,4.746146477401378,0.11976047904191361,-2.5316455696202445,,-5.138746145940391,-10.841750841750839,42.48053720990296
74.24460431654676,43.677365799667946,76.41165755919855,59.36408106219426,47.52623688155922,43.48612124460055,53.06351883080383,20.308483290488425,12.310195227765723,6.467181467181468,4.419664981663197,8.780487804878057,1.0008340283569577,1.5111501042836903,4.138262541513721,-0.23980815347721313,-2.449324324324317,,-5.447070914696825,-11.041292639138243,35.731284359664976
